#Code,Name,Lat,Lon,Date Interval
KIR_hr,KIRUNA,67.83,20.42,1995-01-01 - 2004-12-31
KOD_hr,KODAIKANAL,10.23,77.46,1980-01-01 - 1980-06-30
KOR_hr,KOROR,7.33,134.5,1957-07-01 - 1966-03-31
KOU_hr,KOUROU,5.1,-52.6,1996-01-01 - 2007-12-31
AQU_hr,L AQUILA,42.38,13.32,1960-01-01 - 2007-12-31
LPB_hr,LA PAZ,-16.54,-68.1,1964-01-01 - 1964-12-31
LZH_hr,LANZHOU,36.09,103.85,2000-01-01 - 2007-06-30
LDV_hr,LEADVILLE,39.28,-106.28,1957-06-01 - 1959-02-28
LRM_hr,LEARMONTH,-22.22,114.1,1990-01-01 - 2007-12-31
LRV_hr,LEIRVOGUR,64.18,-21.7,1962-10-01 - 2004-12-31
LNN_hr,LENINGRAD,59.95,30.71,1948-01-01 - 1988-12-31
LEN_hr,LENINGRADSKAYA,-69.5,159.4,1977-01-01 - 1979-12-31
LER_hr,LERWICK,60.13,-1.18,1926-01-01 - 2007-12-31
LAA_hr,LITTLE AMERICA,-78.18,-162.2,1957-07-01 - 1958-12-31
LIV_hr,LIVINGSTON ISLAND,-62.661,-60.395,1997-01-01 - 2004-12-31
LGR_hr,LOGRONO,42.46,-2.5,1964-01-01 - 1966-03-31
LOV_hr,LOVO,59.35,17.83,1940-01-01 - 2004-12-31
LUA_hr,LUANDA,-8.92,13.17,1957-08-01 - 1967-10-31
LNP_hr,LUNPING,25,121.17,1980-01-01 - 2000-12-31
LVV_hr,LVOV,49.9,23.75,1957-07-01 - 2007-12-31
MBO_hr,M BOUR,14.39,-16.96,1952-03-01 - 2007-12-31
MCQ_hr,MACQUARIE ISLAND,-54.5,158.95,1962-10-01 - 2007-12-31
MGD_hr,MAGADAN,60.12,151.02,1966-01-01 - 1990-11-30
MAB_hr,MANHAY,50.3,5.68,1995-01-01 - 2007-12-31
MZL_hr,MANZAOLI,49.6,117.4,2000-01-01 - 2000-12-31
LMM_hr,MAPUTO,-25.92,32.58,1980-01-01 - 2003-11-30
AMS_hr,MARTIN DE VIVIES,-37.83,77.57,1981-01-01 - 2007-12-31
MAW_hr,MAWSON,-67.61,62.88,1964-01-01 - 2007-12-31
MEA_hr,MEANOOK,54.62,-113.33,1932-01-01 - 2007-12-31
