#Code,Name,Lat,Lon,Date Interval
KOU_min,KOUROU,5.1,-52.6,1996-01-01 - 2011-12-31
AQU_min,L AQUILA,42.38,13.32,1992-01-01 - 2007-12-31
LZH_min,LANZHOU,36.09,103.85,2001-04-01 - 2012-12-31
LRM_min,LEARMONTH,-22.22,114.1,1993-01-01 - 2012-12-31
LRV_min,LEIRVOGUR,64.18,-21.7,1989-01-01 - 2007-12-31
LER_min,LERWICK,60.13,-1.18,1983-01-01 - 2012-12-31
LIV_min,LIVINGSTON ISLAND,-62.661,-60.395,1996-12-01 - 2007-12-31
LOP_min,LOPARSKAYA-MURMANSK,68.25,33.08,1993-08-01 - 1998-12-31
LOV_min,LOVO,59.35,17.83,1982-01-01 - 2004-04-30
LOZ_min,LOVOZERO,67.97,35.02,1997-02-01 - 2000-12-31
LNP_min,LUNPING,25,121.17,1988-01-01 - 2000-12-31
LVV_min,LVOV,49.9,23.75,2002-12-01 - 2009-01-31
MBO_min,M BOUR,14.39,-16.96,1989-01-01 - 2012-12-31
MCQ_min,MACQUARIE ISLAND,-54.5,158.95,1993-01-01 - 2012-12-31
MGD_min,MAGADAN,60.12,151.02,1990-01-01 - 1997-04-30
MAB_min,MANHAY,50.3,5.68,1995-01-01 - 2012-12-31
LMM_min,MAPUTO,-25.92,32.58,2000-08-01 - 2003-11-30
AMS_min,MARTIN DE VIVIES,-37.83,77.57,1981-01-01 - 2008-12-31
MAW_min,MAWSON,-67.61,62.88,1991-01-01 - 2012-12-31
MEA_min,MEANOOK,54.62,-113.33,1975-01-01 - 2012-12-31
MMB_min,MEMAMBETSU,43.91,144.19,1985-01-01 - 2012-12-31
MID_min,MIDWAY (MID),28.22,-177.37,2000-02-01 - 2002-02-28
MNK_min,MINSK,54.5,27.88,1990-01-01 - 1990-12-31
MIR_min,MIRNY,-66.55,93.02,1988-01-01 - 2003-12-31
MLT_min,MISALLAT,29.52,30.89,2002-01-01 - 2003-12-31
MIZ_min,MIZUSAWA,39.01,141.08,2005-01-01 - 2007-12-31
MOS_min,MOSCOW (MOS),55.48,37.31,1977-03-01 - 1999-12-31
MSR_min,MOSHIRI,44.371,142.27,1996-09-01 - 1996-09-30
MBC_min,MOULD BAY,76.2,-119.4,1980-01-01 - 1997-06-30
MUT_min,MUNTINLUPA,14.38,121.02,1996-09-01 - 1997-05-31
MUO_min,MUONIO,68.02,23.53,1997-01-01 - 1997-01-31
MMK_min,MURMANSK,68.95,33.05,1990-01-01 - 1990-12-31
NCK_min,NAGYCENK,47.63,16.72,1993-01-01 - 2008-12-31
NAG_min,NAGYCENK (NAG),47.6,16.72,1995-01-01 - 1998-12-31
NAQ_min,NARSSARSSUAQ (NAQ),61.1,-45.2,1982-01-01 - 2008-12-31
NAS_min,NARSSARSSUAQ (NAS),61.1,-45.2,1983-01-01 - 1997-12-31
NAL_min,NEW AALESUND,78.92,11.93,1988-01-01 - 1999-02-28
NEW_min,NEWPORT,48.26,-117.12,1982-09-01 - 2010-12-31
NGK_min,NIEMEGK,52.07,12.68,1995-01-01 - 2012-12-31
NVS_min,NOVOSIBIRSK,55.03,82.9,2003-07-01 - 2012-12-31
NUR_min,NURMIJARVI,60.51,24.66,1991-01-01 - 2009-01-31
ONW_min,ONAGAWA,38.43,141.47,1996-09-01 - 1997-01-31
OTT_min,OTTAWA,45.4,-75.55,1978-01-01 - 2012-12-31
OUJ_min,OUJ,64.521,27.23,1996-09-01 - 1997-05-31
PPT_min,PAMATAI,-17.57,-149.57,1985-01-01 - 2012-12-31
PAG_min,PANAGYURISHTE,42.52,24.18,2007-01-01 - 2007-12-31
PBK_min,PEBEK,70.08,170.93,2000-04-01 - 2003-12-31
PEL_min,PELLO,66.9,24.08,1997-01-01 - 1997-01-31
PET_min,PETROPAVLOVSK,52.9,158.43,1990-01-01 - 2005-09-30
